GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
email,com.correo.ucp,FiltroContenido,0,41,0,0,0,6,0,3,0,3
email,com.correo.ucp,FiltroMailsEnviados,0,36,0,0,0,5,0,4,0,4
email,com.correo.ucp,FiltroMailsEnviadosYContenido,0,48,0,0,0,7,0,5,0,5
email,com.correo.ucp,FiltroMailsEnviadosYAsunto,0,48,0,0,0,7,0,5,0,5
email,com.correo.ucp,FiltroMailsRecibidos,0,30,0,0,0,5,0,3,0,3
email,com.correo.ucp,Mail,0,56,0,4,0,22,0,11,0,9
email,com.correo.ucp,FiltroMailsRecibidosYAsunto,0,42,0,0,0,7,0,4,0,4
email,com.correo.ucp,MailBox,0,32,0,0,0,10,0,3,0,3
email,com.correo.ucp,MailManager,0,177,0,16,0,33,0,16,0,8
email,com.correo.ucp,FiltroAsunto,0,41,0,0,0,6,0,3,0,3
email,com.correo.ucp,FiltroMailsRecibidosYContenido,0,42,0,0,0,7,0,4,0,4
email,com.correo.ucp,Contact,0,24,1,3,0,8,1,4,0,3
